Tree_code,Species,Year,size,Ca,d13Catm,d13Ccorr,Ci,IWUE,d13Craw,discr,Ci/Ca,Ca-Ci,Extant_DBH,Growth ,Month,PRCP,TAVG,TMIN,TMAX
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,7,90,29.2,24.2,34.1
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,4,20,31.3,24.3,38.3
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,8,114,28.2,23.6,32.8
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,6,182,30.4,24.6,36.1
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,9,246,28.1,23.6,32.5
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,10,376,27.8,24.3,31.2
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,2,11,29.3,22.2,36.4
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,12,0,23.4,16.5,30.2
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,3,76,30.2,23.8,36.5
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,1,0,25.8,18.3,33.3
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,5,221,31.1,24.8,37.4
ax030,Afzelia_xylocarpa,1952,8,312.8,-6.86,-25.98308764,210.1446821,64.1595737,-26.44308764,19.58308764,0.671818037,102.6553179,42.18956825,6.882995372,11,16,27.1,22.1,32
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,5,284,29.3,24.4,34.2
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,6,144,28.5,24.4,32.6
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,4,52,29.6,23.9,35.3
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,2,0,27.5,20.8,34.2
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,9,264,27.9,23.7,32
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,8,180,28.1,23.9,32.2
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,3,88,29.4,23,35.8
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,1,0,22.9,15.2,30.5
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,7,241,28.4,23.7,33
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,11,29,24.8,20.1,29.4
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,12,0,22.9,15.4,30.3
ax095,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.43038788,175.5400369,86.59997694,-23.91038788,17.03038788,0.55886672,138.5599631,69.42813897,17.42196149,10,30,27.6,23.5,31.7
ax033,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.37101213,174.7148191,87.11573808,-23.85101213,16.97101213,0.556239475,139.3851809,57.62732643,16.58806477,5,284,29.3,24.4,34.2
ax033,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.37101213,174.7148191,87.11573808,-23.85101213,16.97101213,0.556239475,139.3851809,57.62732643,16.58806477,6,144,28.5,24.4,32.6
ax033,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.37101213,174.7148191,87.11573808,-23.85101213,16.97101213,0.556239475,139.3851809,57.62732643,16.58806477,4,52,29.6,23.9,35.3
ax033,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.37101213,174.7148191,87.11573808,-23.85101213,16.97101213,0.556239475,139.3851809,57.62732643,16.58806477,2,0,27.5,20.8,34.2
ax033,Afzelia_xylocarpa,1955,8,314.1,-6.88,-23.37101213,174.7148191,87.11573808,-23.85101213,16.97101213,0.556239475,139.3851809,57.62732643,16.58806477,9,264,27.9,23.7,32
