"","size","Species","DriestQPRCP","WettestMonthPRCP","DriestMonthPRCP","TotalPRCP","HottestMonthTMAX","HottestMonthTAVG","CoolestMonthTAVG","CoolestMonthTMIN","TotalAnnualTemperature","PRCP_Seasonality","HEAT_Seasonality","COOL_Seasonality","Ca","Ci"
"1",27,"Afzelia_xylocarpa",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,168.151670383184
"2",27,"Afzelia_xylocarpa",68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.0561519405450041,0.0942114589486119,0.0732427643236858,335.3,167.658072400382
"3",8,"Afzelia_xylocarpa",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,194.193531003209
"4",27,"Afzelia_xylocarpa",33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.0225102319236016,0.0954356846473029,0.0693538826318909,319.4,167.973835288969
"5",27,"Afzelia_xylocarpa",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,217.840443543198
"6",8,"Afzelia_xylocarpa",1,179,0,886,39.3,33,24.2,17.4,344.6,0.00112866817155756,0.0957632037144515,0.0702263493905978,316.8,207.190058377624
"7",27,"Afzelia_xylocarpa",18,263,0,842,39.4,32.3,23.9,16.9,340,0.0213776722090261,0.095,0.0702941176470588,352.8,200.110379231438
"8",8,"Afzelia_xylocarpa",38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.0359848484848485,0.0957193816884661,0.0719381688466112,317.5,201.885758241443
"9",27,"Afzelia_xylocarpa",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,176.914794628175
"10",8,"Afzelia_xylocarpa",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,201.461257710807
"11",8,"Afzelia_xylocarpa",169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700690713738,0.0913187143286272,0.0717933313307299,362.5875,207.257199024296
"12",27,"Afzelia_xylocarpa",3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.00443131462333826,0.0917005223447475,0.0719674985490424,336.7,181.403282147222
"13",8,"Afzelia_xylocarpa",87,376,0,1352,38.3,31.3,23.4,16.5,341.9,0.0643491124260355,0.0915472360339281,0.0684410646387833,312.8,210.144682082878
"14",27,"Afzelia_xylocarpa",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,199.901674838103
"15",8,"Afzelia_xylocarpa",88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.0670731707317073,0.090547568063628,0.0700520036708474,314.1,203.979255343299
"16",27,"Afzelia_xylocarpa",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,167.386949979196
"17",8,"Afzelia_xylocarpa",88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.0670731707317073,0.090547568063628,0.0700520036708474,314.1,174.714819068895
"18",27,"Afzelia_xylocarpa",89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.0987791342952275,0.0941901408450704,0.0689553990610329,315.7,176.301119290771
"19",27,"Afzelia_xylocarpa",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,183.563247314658
"20",27,"Afzelia_xylocarpa",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,186.04325586188
"21",8,"Afzelia_xylocarpa",13,270,0,1116,37,31.3,25.1,17.2,338.6,0.0116487455197133,0.0924394565859421,0.0741287655050207,330.1,221.575076587911
"22",27,"Afzelia_xylocarpa",169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700690713738,0.0913187143286272,0.0717933313307299,362.5875,204.154461747008
"23",8,"Afzelia_xylocarpa",17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.0154405086285195,0.0943450663589152,0.0706866705135603,327.3,220.166708033009
"24",27,"Afzelia_xylocarpa",64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.0718294051627385,0.0918665886483323,0.0713867758923347,357,164.646099048947
"25",8,"Afzelia_xylocarpa",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,170.16388710439
"26",8,"Afzelia_xylocarpa",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,203.618548181945
"27",27,"Afzelia_xylocarpa",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,210.750628235157
"28",8,"Afzelia_xylocarpa",167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882831570382,0.0963072378138848,0.0679468242245199,331,195.782955817006
"29",8,"Afzelia_xylocarpa",167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882831570382,0.0963072378138848,0.0679468242245199,331,190.833416681356
"30",27,"Afzelia_xylocarpa",1,179,0,886,39.3,33,24.2,17.4,344.6,0.00112866817155756,0.0957632037144515,0.0702263493905978,316.8,200.039735464517
"31",8,"Afzelia_xylocarpa",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,175.239703107585
"32",27,"Afzelia_xylocarpa",178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859437751,0.0937313432835821,0.0734328358208955,326.2,170.328800881405
"33",27,"Afzelia_xylocarpa",74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.0706781279847182,0.0927595231171852,0.0724047688281477,354,162.819668051166
"34",8,"Afzelia_xylocarpa",154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469135802,0.0952802359882006,0.0722713864306785,315.1,196.574400078641
