,Tree_code,size,Species,Year,DriestQPRCP,WettestMonthPRCP,DriestMonthPRCP,TotalPRCP,HottestMonthTMAX,HottestMonthTAVG,CoolestMonthTAVG,CoolestMonthTMIN,TotalAnnualTemperature,PRCP_Seasonality,HEAT_Seasonality,COOL_Seasonality,Ca,Ci
1,ax012,27,Afzelia_xylocarpa,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,168.1516704
2,ax013,27,Afzelia_xylocarpa,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,167.6580724
3,ax016,8,Afzelia_xylocarpa,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,194.193531
4,ax019,27,Afzelia_xylocarpa,1964,33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.022510232,0.095435685,0.069353883,319.4,167.9738353
5,ax022,27,Afzelia_xylocarpa,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,217.8404435
6,ax022,8,Afzelia_xylocarpa,1960,1,179,0,886,39.3,33,24.2,17.4,344.6,0.001128668,0.095763204,0.070226349,316.8,207.1900584
7,ax023,27,Afzelia_xylocarpa,1989,18,263,0,842,39.4,32.3,23.9,16.9,340,0.021377672,0.095,0.070294118,352.8,200.1103792
8,ax026,8,Afzelia_xylocarpa,1961,38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.035984848,0.095719382,0.071938169,317.5,201.8857582
9,ax027,27,Afzelia_xylocarpa,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,176.9147946
10,ax027,8,Afzelia_xylocarpa,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,201.4612577
11,ax028,8,Afzelia_xylocarpa,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,207.257199
12,ax030,27,Afzelia_xylocarpa,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,181.4032821
13,ax030,8,Afzelia_xylocarpa,1952,87,376,0,1352,38.3,31.3,23.4,16.5,341.9,0.064349112,0.091547236,0.068441065,312.8,210.1446821
14,ax032,27,Afzelia_xylocarpa,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,199.9016748
15,ax032,8,Afzelia_xylocarpa,1955,88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.067073171,0.090547568,0.070052004,314.1,203.9792553
16,ax033,27,Afzelia_xylocarpa,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,167.38695
17,ax033,8,Afzelia_xylocarpa,1955,88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.067073171,0.090547568,0.070052004,314.1,174.7148191
