Year,Month,PRCP,TAVG,TMIN,TMAX
1911,1,0,NA,NA,NA
1911,2,1,NA,NA,NA
1911,3,0,NA,NA,NA
1911,4,82,NA,NA,NA
1911,5,150,NA,NA,NA
1911,6,126,NA,NA,NA
1911,7,93,NA,NA,NA
1911,8,57,NA,NA,NA
1911,9,189,NA,NA,NA
1911,10,116,NA,NA,NA
1911,11,6,NA,NA,NA
1911,12,0,NA,NA,NA
1912,1,9,NA,NA,NA
1912,2,5,NA,NA,NA
1912,3,26,NA,NA,NA
1912,4,37,NA,NA,NA
1912,5,92,NA,NA,NA
1912,6,97,NA,NA,NA
1912,7,113,NA,NA,NA
1912,8,201,NA,NA,NA
1912,9,164,NA,NA,NA
1912,10,229,NA,NA,NA
1912,11,132,NA,NA,NA
1912,12,0,NA,NA,NA
1913,1,0,NA,NA,NA
1913,2,9,NA,NA,NA
1913,3,0,NA,NA,NA
1913,4,3,NA,NA,NA
1913,5,167,NA,NA,NA
1913,6,105,NA,NA,NA
1913,7,108,NA,NA,NA
1913,8,226,NA,NA,NA
1913,9,177,NA,NA,NA
1913,10,89,NA,NA,NA
1913,11,61,NA,NA,NA
1913,12,0,NA,NA,NA
1914,1,23,NA,NA,NA
1914,2,19,NA,NA,NA
1914,3,70,NA,NA,NA
1914,4,49,NA,NA,NA
1914,5,28,NA,NA,NA
1914,6,120,NA,NA,NA
1914,7,49,NA,NA,NA
1914,8,154,NA,NA,NA
1914,9,179,NA,NA,NA
1914,10,159,NA,NA,NA
1914,11,7,NA,NA,NA
1914,12,0,NA,NA,NA
1915,1,0,NA,NA,NA
1915,2,0,NA,NA,NA
1915,3,8,NA,NA,NA
1915,4,153,NA,NA,NA
1915,5,87,NA,NA,NA
1915,6,106,NA,NA,NA
1915,7,95,NA,NA,NA
1915,8,200,NA,NA,NA
1915,9,205,NA,NA,NA
1915,10,181,NA,NA,NA
1915,11,35,NA,NA,NA
1915,12,0,NA,NA,NA
1916,1,0,NA,NA,NA
1916,2,12,NA,NA,NA
1916,3,31,NA,NA,NA
1916,4,3,NA,NA,NA
1916,5,139,NA,NA,NA
1916,6,93,NA,NA,NA
1916,7,156,NA,NA,NA
1916,8,272,NA,NA,NA
1916,9,187,NA,NA,NA
1916,10,211,NA,NA,NA
1916,11,46,NA,NA,NA
1916,12,3,NA,NA,NA
1917,1,0,NA,NA,NA
1917,2,0,NA,NA,NA
1917,3,37,NA,NA,NA
1917,4,2,NA,NA,NA
1917,5,154,NA,NA,NA
1917,6,54,NA,NA,NA
1917,7,125,NA,NA,NA
1917,8,174,NA,NA,NA
1917,9,335,NA,NA,NA
1917,10,259,NA,NA,NA
1917,11,0,NA,NA,NA
1917,12,34,NA,NA,NA
1918,1,0,NA,NA,NA
1918,2,6,NA,NA,NA
1918,3,13,NA,NA,NA
1918,4,61,NA,NA,NA
1918,5,120,NA,NA,NA
1918,6,63,NA,NA,NA
1918,7,23,NA,NA,NA
1918,8,165,NA,NA,NA
1918,9,234,NA,NA,NA
1918,10,52,NA,NA,NA
1918,11,0,NA,NA,NA
1918,12,0,NA,NA,NA
1919,1,0,NA,NA,NA
1919,2,104,NA,NA,NA
1919,3,100,NA,NA,NA
1919,4,138,NA,NA,NA
1919,5,108,NA,NA,NA
1919,6,114,NA,NA,NA
1919,7,126,NA,NA,NA
1919,8,84,NA,NA,NA
1919,9,147,NA,NA,NA
1919,10,35,NA,NA,NA
1919,11,66,NA,NA,NA
1919,12,0,NA,NA,NA
1920,1,12,NA,NA,NA
1920,2,7,NA,NA,NA
1920,3,20,NA,NA,NA
1920,4,9,NA,NA,NA
1920,5,90,NA,NA,NA
1920,6,87,NA,NA,NA
1920,7,80,NA,NA,NA
1920,8,126,NA,NA,NA
1920,9,139,NA,NA,NA
1920,10,88,NA,NA,NA
1920,11,35,NA,NA,NA
1920,12,0,NA,NA,NA
1921,1,26,NA,NA,NA
1921,2,3,NA,NA,NA
1921,3,12,NA,NA,NA
1921,4,59,NA,NA,NA
1921,5,192,NA,NA,NA
1921,6,111,NA,NA,NA
1921,7,165,NA,NA,NA
1921,8,134,NA,NA,NA
1921,9,338,NA,NA,NA
1921,10,51,NA,NA,NA
1921,11,0,NA,NA,NA
1921,12,0,NA,NA,NA
1922,1,0,NA,NA,NA
1922,2,0,NA,NA,NA
1922,3,10,NA,NA,NA
1922,4,24,NA,NA,NA
1922,5,150,NA,NA,NA
1922,6,47,NA,NA,NA
1922,7,120,NA,NA,NA
1922,8,183,NA,NA,NA
1922,9,379,NA,NA,NA
1922,10,94,NA,NA,NA
1922,11,48,NA,NA,NA
1922,12,0,NA,NA,NA
1923,1,11,NA,NA,NA
1923,2,0,NA,NA,NA
1923,3,12,NA,NA,NA
1923,4,103,NA,NA,NA
1923,5,119,NA,NA,NA
1923,6,149,NA,NA,NA
1923,7,111,NA,NA,NA
1923,8,118,NA,NA,NA
